一,一,yī,"det.: one yī: 
在,在,zài,"in, at, on, etc. zài: Duration: 1 second.0:01"
有,有,yǒu,"have, possess"
個,个,gè,"piece, item gè: Duration: 1 second.0:01"
我,我,wǒ,"I, me, ego, self wǒ: Duration: 1 second.0:01"
不,不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix bù: Duration: 1 second.0:01"
這,这,zhè,"now, this, det.: this, it* Audio: Duration: 1 second.0:01"
他,他,tā,"he, she, it, they (referring to inanimate things in object position) tā: Duration: 1 second.0:01"
也,也,yě,"also, too, as well, either, even yě: Duration: 1 second.0:01"
就,就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation"
人,人,rén,"person, people rén: Duration: 1 second.0:01"
都,都,dōu,"all, even, already"
說,说,shuō,"speak, talk, explain, scold shuō: Duration: 1 second.0:01"
而,而,ér,conj.: and yet
們,们,men,plural marker for personal pronouns or for nouns referring to people
你,你,nǐ,you nǐ: Duration: 2 seconds.0:02
了,了,le,particle: indicating new situation or completed action le: Duration: 1 second.0:01
要,要,yào,"want, need, must, should yào: Duration: 1 second.0:01"
會,会,huì,"to be able, can, will, to meet huì: Duration: 1 second.0:01"
對,对,duì,"correct, true, toward duì: Duration: 1 second.0:01"
及,及,jí,"to reach, to catch up, and jí: Duration: 1 second.0:01"
和,和,hé,"and, with, gentle, peaceful"
與,与,yǔ,"and, together with, to give"
以,以,yǐ,"using, taking, from a point on, because of"
很,很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly"
種,种,zhǒng,m.[kind] zhǒng: Duration: 2 seconds.0:02
的,的,de,particle: emphasizing an action/situation
大,大,dà,"great, macro, old, very, vast, tall, big, high, much"
能,能,néng,can or to be capable of
著,着,zhe,[aspect]
她,她,tā,"she, her, she (neologism for {1ta1}[2]), )"
那,那,nà,det.: that
上,上,shàng,"on, above shàng: Duration: 1 second.0:01"
但,但,dàn,"conj.: but, yet, still, nevertheless, only, merely dàn: Duration: 1 second.0:01"
年,年,nián,year nián: Duration: 1 second.0:01
還,还,hái,"still, yet, also, too, as well, besides"
可以,可以,kěyǐ,"can, may"
最,最,zuì,"most, to the highest degree, much, superlatively"
自己,自己,zìjǐ,"lonesome, number_one, own, ego, self, oneself, name"
為,为,wéi,by
來,来,lái,"come, arrive lái: Duration: 1 second.0:01"
所,所,suǒ,that which
他們,他们,tāmen,they
兩,两,liǎng,"det.: two, both (sides), either (side), a few, some liǎng: Duration: 1 second.0:01"
各,各,gè,"det.: each, every gè: Duration: 1 second.0:01"
可,可,kě,"can, may kě: Duration: 1 second.0:01"
為,为,wéi,"be, become"
或,或,huò,"conj.: or, either or huò: Duration: 1 second.0:01"
好,好,hǎo,good hǎo: Duration: 2 seconds.0:02
等,等,děng,"conj.: and so on, etc děng: Duration: 2 seconds.0:02"
又,又,yòu,"again, moreover"
將,将,jiāng,be about to jiāng: Duration: 1 second.0:01
因為,因为,yīnwèi,"conj.: because, for, on account of"
於,于,yú,"in, at, to, from, out of, by"
由,由,yóu,"from, via, by, through, owing/due to"
從,从,cóng,"from, since, through cóng: Duration: 1 second.0:01"
更,更,gèng,"more, still/even more, further, furthermore gèng: Duration: 2 seconds.0:02"
被,被,bèi,by bèi: Duration: 1 second.0:01
才,才,cái,"then and only then, just now, only (before a number) cái: Duration: 2 seconds.0:02"
已,已,yǐ,already
者,者,zhě,"nominal suffix, one who, -er"
每,每,měi,det.: every měi: Duration: 2 seconds.0:02
次,次,cì,"order, sequence, next cì: Duration: 1 second.0:01"
把,把,bǎ,indicating pre-verbal object as thing dealt with by the action bǎ: Duration: 1 second.0:01
三,三,sān,det.: three sān: Duration: 1 second.0:01
什麼,什么,shénme,"anything, what"
問題,问题,wèntí,"problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang-up, business, quaere"
其,其,qí,"det.: its, his, her, their, it, this, that qí: Duration: 2 seconds.0:02"
讓,让,ràng,"allow, induce sb. to do sth. ràng: Duration: 1 second.0:01"
此,此,cǐ,"this, det.: this, here"
做,做,zuò,"make, do zuò: Duration: 1 second.0:01"
再,再,zài,"again, once more, further(more), in a higher degree, and then, not (do sth.) before zài: Duration: 1 second.0:01"
所以,所以,suǒyǐ,"conj.: so, therefore, as a result"
只,只,zhǐ,"only, merely zhǐ: Duration: 2 seconds.0:02"
則,则,zé,"then, in that case"
台灣,台湾,Táiwān,Taiwan táiwān: Duration: 2 seconds.0:02
卻,却,què,"however, but, yet, indeed"
並,并,bìng,"to be side by side, simultaneously, and bìng: Duration: 1 second.0:01"
位,位,wèi,"location, digit, m.[general], , status, figure, throne, position, place, condition wèi: Duration: 1 second.0:01"
想,想,xiǎng,"think, suppose, reckon, consider, want to, would like to, feel like (doing sth.) xiǎng: Duration: 2 seconds.0:02"
去,去,qù,"to go, to leave, in order to qù: Duration: 1 second.0:01"
呢,呢,ne,particle: marking quesitons about subject already mentioned; indicating strong affirmation
學生,学生,xuéshēng,"academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student"
表示,表示,biǎoshì,"demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken"
到,到,dào,up until dào: Duration: 1 second.0:01
公司,公司,gōngsī,"place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation"
將,将,jiāng,introducing object of main verb jiāng: Duration: 1 second.0:01
如果,如果,rúguǒ,conj.: if rúguǒ: Duration: 2 seconds.0:02
社會,社会,shèhuì,"community, society, monde, social, public"
看,看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit kàn: Duration: 1 second.0:01"
小,小,xiǎo,"small, little, petty, minor;young xiǎo: Duration: 2 seconds.0:02"
天,天,tiān,"sky, heaven tiān: Duration: 1 second.0:01"
因此,因此,yīncǐ,"conj.: therefore, consequently"
新,新,xīn,"new, fresh, up-to-date xīn: Duration: 1 second.0:01"
但是,但是,dànshì,"conj.: but, however, yet, still"
它,它,tā,"they (neologism for {1ta1}[3] [4]), [4]), ), this, that, it"
中,中,zhōng,"center, middle, interior zhōng: Duration: 1 second.0:01"
使,使,shǐ,"rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro"
工作,工作,gōngzuò,"work, job"
全,全,quán,"det.: all, Surname, whole, Quan quán: Duration: 2 seconds.0:02"
覺得,觉得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive"
使用,使用,shǐyòng,"use, employ, apply"
這些,这些,zhèxiē,det.: these
裡,里,lǐ,inside lǐ: Duration: 2 seconds.0:02
並,并,bìng,"actually, truly bìng: Duration: 1 second.0:01"
由於,由于,yóuyú,conj.: owing/due/thanks to
時候,时候,shíhòu,"day, moment, (a point in) time, (duration of) time, time"
知道,知道,zhīdào,"tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize"
這樣,这样,zhèyàng,"so, such, like this, this way"
一,一,yī,as soon as yī: Duration: 1 second.0:01
